timestamp,open,high,low,close,volume
2022-06-17,244.7000,250.5000,244.0300,247.6500,43084780
2022-06-16,245.9800,247.4174,243.0200,244.9700,33169160
2022-06-15,248.3100,255.3000,246.4200,251.7600,33111729
2022-06-14,243.8600,245.7400,241.5100,244.4900,28651487
2022-06-13,245.1100,249.0242,241.5300,242.2600,46135788
2022-06-10,260.5800,260.5800,252.5300,252.9900,31445841
2022-06-09,267.7800,272.7081,264.6300,264.7900,26439728
2022-06-08,271.7100,273.0000,269.6100,270.4100,17372341
2022-06-07,266.6350,273.1300,265.9400,272.5000,22860677
2022-06-06,272.0600,274.1800,267.2200,268.7500,22400342
2022-06-03,270.3100,273.4500,268.4100,270.0200,28058958
2022-06-02,264.4500,274.6500,261.6000,274.5800,44008209
2022-06-01,275.1950,277.6900,270.0400,272.4200,25292174
2022-05-31,272.5300,274.7700,268.9300,271.8700,37827695
2022-05-27,268.4800,273.3400,267.5600,273.2400,26910806
2022-05-26,262.2700,267.1100,261.4294,265.9000,25002105
2022-05-25,258.1400,264.5800,257.1250,262.5200,28547947
2022-05-24,257.8900,261.3300,253.5000,259.6200,29043904
2022-05-23,255.4900,261.5000,253.4300,260.6500,33175379
2022-05-20,257.2400,258.5400,246.4400,252.5600,39199279
2022-05-19,253.9000,257.6700,251.8800,253.1400,32692286
2022-05-18,263.0000,263.6000,252.7700,254.0800,31355985
2022-05-17,266.1100,268.3300,262.4600,266.8200,28828799
2022-05-16,259.9550,265.8200,255.7800,261.5000,32550933
2022-05-13,257.3500,263.0400,255.3500,261.1200,34925093
2022-05-12,257.6900,259.8800,250.0200,255.3500,51033802
2022-05-11,265.6800,271.3600,259.3000,260.5500,48975898
2022-05-10,271.6900,273.7500,265.0700,269.5000,39336424
2022-05-09,270.0600,272.3600,263.3200,264.5800,47725952
2022-05-06,274.8050,279.2500,271.2700,274.7300,37780322
2022-05-05,285.5400,286.3500,274.3400,277.3500,43260386
2022-05-04,282.5900,290.8800,276.7300,289.9800,33463409
2022-05-03,283.9600,284.1300,280.1500,281.7800,25978605
2022-05-02,277.7100,284.9400,276.2200,284.4700,35151105
2022-04-29,288.6100,289.8800,276.5000,277.5200,37073923
2022-04-28,285.1850,290.9800,281.4562,289.6300,33646570
2022-04-27,282.1000,290.9700,279.1600,283.2200,63477694
2022-04-26,277.5000,278.3599,270.0000,270.2200,42047008
2022-04-25,273.2900,281.1100,270.7700,280.7200,35678852
2022-04-22,281.6800,283.2000,273.3800,274.0300,29405798
2022-04-21,288.5800,293.3000,280.0600,280.8100,29454587
2022-04-20,289.4000,289.7000,285.3702,286.3600,22805341
2022-04-19,279.3800,286.1700,278.4100,285.3000,22297720
2022-04-18,278.9100,282.4600,278.3400,280.5200,20778000
2022-04-14,288.0900,288.3050,279.3200,279.8300,28221607
2022-04-13,282.7300,288.5800,281.3000,287.6200,21907176
2022-04-12,289.2350,290.7390,280.4900,282.0600,30966721
2022-04-11,291.7900,292.6100,285.0000,285.2600,34569264
2022-04-08,300.4400,301.1200,296.2800,296.9700,24361917
2022-04-07,296.6600,303.6500,296.3500,301.3700,31411155
2022-04-06,305.1900,307.0000,296.7100,299.5000,40110372
2022-04-05,313.2700,314.8650,309.8700,310.8800,22984881
2022-04-04,310.0900,315.1100,309.7100,314.9700,24335868
2022-04-01,309.3700,310.1300,305.5400,309.4200,27110529
2022-03-31,313.9000,315.1400,307.8900,308.3100,33422070
2022-03-30,313.7600,315.9500,311.5800,313.8600,28163555
2022-03-29,313.9100,315.8200,309.0500,315.4100,30393403
2022-03-28,304.3300,310.8000,304.3300,310.7000,29578188
2022-03-25,305.2300,305.5000,299.2855,303.6800,22443541
2022-03-24,299.1400,304.2000,298.3150,304.1000,24484456
2022-03-23,300.5100,303.2300,297.7201,299.4900,25715377
2022-03-22,299.8000,305.0000,298.7700,304.0600,27441386
2022-03-21,298.8900,300.1400,294.9000,299.1600,28107855
2022-03-18,295.3700,301.0000,292.7300,300.4300,42195837
2022-03-17,293.2900,295.6100,289.3700,295.2200,30816633
2022-03-16,289.1100,294.5700,283.2000,294.3900,37826329
2022-03-15,280.3500,287.8200,278.7250,287.1500,34245085
2022-03-14,280.3400,285.3992,275.8200,276.4400,30660747
2022-03-11,287.9600,289.5100,279.4300,280.0700,27209330
2022-03-10,283.0200,286.6000,280.5800,285.5900,30628012
2022-03-09,283.4400,289.6000,280.7800,288.5000,35204480
2022-03-08,277.8000,283.9600,270.0000,275.8500,48159475
2022-03-07,288.5300,289.6900,278.5300,278.9100,43157178
2022-03-04,294.2900,295.6600,287.1650,289.8600,32369655
2022-03-03,302.8900,303.1300,294.0500,295.9200,27314469
2022-03-02,295.3600,301.4700,293.6980,300.1900,31873007
2022-03-01,296.4000,299.9700,292.1500,294.9500,31217778
2022-02-28,294.3100,299.1400,293.0000,298.7900,34627457
2022-02-25,295.1400,297.6300,291.6550,297.3100,32546721
2022-02-24,272.5100,295.1600,271.5200,294.5900,56989686
2022-02-23,290.1800,291.7000,280.1000,280.2700,37811167
2022-02-22,285.0000,291.5400,284.5000,287.7200,41569319
2022-02-18,293.0500,293.8600,286.3050,287.9300,34264008
2022-02-17,296.3600,296.8000,290.0000,290.7300,32461580
2022-02-16,298.3650,300.8700,293.6800,299.5000,29982121
2022-02-15,300.0080,300.8000,297.0200,300.4700,27379488
2022-02-14,293.7700,296.7600,291.3500,295.0000,36359487
2022-02-11,303.1900,304.2900,294.2200,295.0400,39175620
2022-02-10,304.0400,309.1200,300.7000,302.3800,45386199
2022-02-09,309.8650,311.9300,307.3900,311.2100,31284671
2022-02-08,301.2500,305.5610,299.9500,304.5600,32421188
2022-02-07,306.1700,307.8400,299.9000,300.9500,28533286
2022-02-04,300.2100,308.8000,299.9700,305.9400,35096488
